Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-23 22:05:59	1012	9157	4	70	0	0	136	0	0	94	0	0	100	0	0	100	0	11.508		182.648	589.036	0.00570285	0	0.0312232	0.534543	15.9476	1		0.0088623	11.9021	35.309	0	51.673	4.0281	
2021-04-23 22:21:07	1153	9159	4	102	0	0	111	0	0	106	0	0	107	0	0	106.5	0	1.706		199.18	435.872	0.308517	0	1.54894	0.0669823	97.3227	1		0.0088623	11.9287	34.1395	0	51.673	4.0281	
2021-04-23 22:11:20	1059	9160	4	86	0	0	140	0	0	110	0	0	116	0	0	113	0	10.238		199.169	467.013	0.0091314	0	0.0458476	0.0486656	17.2841	1		0.0088623	11.8844	34.1395	0	51.673	4.0281	
2021-04-23 22:10:17	1051	9162	4	78	0	0	132	0	0	102	0	0	108	0	0	105	0	10.238		199.171	413.902	0.00979917	0	0.0491997	0.0485065	18.5478	1		0.0088623	11.8844	34.2695	0	51.673	4.02811	
2021-04-23 22:13:28	1079	9163	1	90	0	0	126	0	0	94	0	0	98	0	0	102	0	2.142		199.179	341.566	0.358375	0	1.79926	0.00066058	87.3219	2		0.0088623	12.292	33.7497	0	51.673	4.02809	
2021-04-23 22:06:59	1021	9164	4	62	0	0	122	0	0	86	0	0	92	0	0	90.5	0	11.098		199.173	483.239	0.00689125	0	0.0345994	0.0337606	15.6524	4		0.0088623	12.3186	34.9192	0	51.673	4.0281	
2021-04-23 22:01:25	976	9165	4	60	0	0	138	0	0	84	0	0	90	0	0	93	0	11.615		199.18	508.722	0.00510534	0	0.0256318	0.140182	15.1246	2		0.0088623	12.4161	39.5972	0	51.673	4.02809	
2021-04-23 22:16:49	1112	9166	2	89	0	0	107	0	0	101	0	0	103	0	0	100	0	2.035		199.171	458.828	0.258073	0	1.29574	0.365606	85.4843	1		0.0088623	11.8932	33.8796	0	51.673	4.0281	
2021-04-23 22:08:23	1034	9169	1	74	0	0	134	0	0	104	0	0	110	0	0	105.5	0	11.098		198.007	588.576	0.00653479	0	0.0330028	0.182765	14.9301	1		0.0088623	12.292	34.3994	0	51.673	4.0281	
2021-04-23 22:11:44	1063	9170	4	98	0	0	134	0	0	114	0	0	118	0	0	116	0	6.825		199.154	508.534	0.0232387	0	0.116687	0.0583101	29.3266	1		0.0088623	12.0084	34.1395	0	51.673	4.02811	
2021-04-23 22:17:54	1123	9171	4	95	0	0	113	0	0	103	0	0	105	0	0	104	0	3.413		199.174	494.824	0.0914926	0	0.45936	0.0638369	57.7249	1		0.0088623	11.8844	34.0096	0	51.673	4.0281	
2021-04-23 22:20:37	1148	9172	2	101	0	0	110	0	0	107	0	0	108	0	0	106.5	0	1.018		199.174	444.873	0.803527	0	4.0343	0.0421036	133.078	1		0.0088623	12.2832	33.8796	0	51.673	4.0281	
2021-04-23 22:08:40	1037	9175	4	78	0	0	138	0	0	102	0	0	108	0	0	106.5	0	11.098		186.955	584.946	0.00664303	0	0.0355328	0.189591	16.0747	1		0.0088623	11.8932	34.5294	0	51.673	4.02811	
2021-04-23 22:04:32	998	9176	1	60	0	0	126	0	0	90	0	0	96	0	0	93	0	12.558		199.19	369.333	0.00387862	0	0.0194719	0.315488	11.0111	1		0.0088623	12.3275	35.8288	0	51.673	4.0281	
2021-04-23 22:07:18	1023	9183	1	64	0	0	124	0	0	70	0	0	76	0	0	83.5	0	3.192		199.078	572.293	0.163607	0	0.821828	0.323082	60.2896	1		0.0088623	12.3097	34.7893	0	51.673	4.0281	
